Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-15,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-16,1256,1755,0.2843,605,598,0.0117,572,82,5.9756,0.4090349075975359,2435,2435,2435,2433,0
2,2023-04-17,2525,3510,0.2806,1238,1196,0.0351,1105,165,5.697,0.4038185177581605,4871,4871,4871,4868,0
3,2023-04-18,3791,5265,0.28,1875,1795,0.0446,1640,248,5.6129,0.40311986863711,7308,7308,7308,7306,0
4,2023-04-19,5078,7020,0.2766,2512,2393,0.0497,2154,331,5.5076,0.3986042692939244,9744,9744,9744,9744,0
5,2023-04-20,6373,8775,0.2737,3129,2992,0.0458,2677,413,5.4818,0.3943349753694581,12180,12180,12180,12179,0
6,2023-04-21,7715,10530,0.2673,3704,3590,0.0318,3196,496,5.4435,0.3851258894362342,14616,14616,14616,14615,0
7,2023-04-22,9051,12285,0.2632,4294,4189,0.0251,3708,579,5.4041,0.3792881018002697,17053,17053,17053,17053,0
8,2023-04-23,10330,14040,0.2642,4908,4787,0.0253,4249,662,5.4184,0.3806249679306275,19489,19489,19489,19487,0
9,2023-04-24,11604,15795,0.2653,5521,5386,0.0251,4801,745,5.4443,0.3822858706558423,21926,21926,21926,21926,0
10,2023-04-25,12868,17551,0.2668,6150,5984,0.0277,5341,827,5.4583,0.3843280518840817,24362,24362,24362,24359,0
11,2023-04-26,14137,19306,0.2677,6793,6583,0.0319,5866,910,5.4462,0.3856487182357551,26799,26799,26799,26796,0
12,2023-04-27,15422,21061,0.2677,7422,7181,0.0336,6390,993,5.435,0.3857362750128271,29235,29235,29235,29234,0
13,2023-04-28,16678,22816,0.269,8058,7780,0.0357,6935,1076,5.4452,0.3875663046223794,31672,31672,31672,31671,0
14,2023-04-29,17932,24571,0.2702,8719,8378,0.0407,7455,1158,5.4378,0.3892749289002257,34107,34107,34107,34106,0
15,2023-04-30,19240,26326,0.2692,9335,8977,0.0399,7968,1241,5.4206,0.38777911558669,36544,36544,36544,36543,0
16,2023-05-01,20486,28081,0.2705,9952,9575,0.0394,8536,1324,5.4471,0.3895330938943048,38980,38980,38980,38974,0
17,2023-05-02,21780,29836,0.27,10557,10174,0.0376,9077,1407,5.4513,0.3889465678344641,41417,41417,41417,41414,0
18,2023-05-03,23040,31591,0.2707,11203,10772,0.04,9610,1490,5.4497,0.3899847216838072,43853,43853,43853,43853,0
19,2023-05-04,24303,33346,0.2712,11829,11371,0.0403,10155,1572,5.4599,0.390675970532956,46289,46289,46289,46287,0
20,2023-05-05,25589,35102,0.271,12401,11969,0.0361,10736,1655,5.487,0.3904691540450683,48726,48726,48726,48726,0
21,2023-05-06,26913,36857,0.2698,13013,12568,0.0354,11236,1738,5.4649,0.3886988644137364,51163,51163,51163,51162,0
22,2023-05-07,28188,38612,0.27,13649,13166,0.0367,11762,1821,5.4591,0.3889624806432956,53599,53599,53599,53599,0
23,2023-05-08,29482,40367,0.2697,14271,13765,0.0368,12283,1904,5.4512,0.3885002498393889,56036,56036,56036,56036,0
24,2023-05-09,30780,42122,0.2693,14867,14363,0.0351,12823,1986,5.4567,0.3879358998477878,58471,58471,58471,58470,0
25,2023-05-10,32070,43877,0.2691,15477,14962,0.0344,13359,2069,5.4567,0.3876666447757273,60908,60908,60908,60906,0
26,2023-05-11,33356,45632,0.269,16110,15560,0.0353,13876,2152,5.448,0.3875663046223794,63344,63344,63344,63342,0
27,2023-05-12,34666,47387,0.2684,16705,16158,0.0339,14407,2235,5.4461,0.3867436910915172,65780,65780,65780,65778,0
28,2023-05-13,35970,49142,0.268,17328,16757,0.0341,14916,2317,5.4376,0.3861557405887182,68216,68216,68216,68214,0
29,2023-05-14,37251,50897,0.2681,17944,17355,0.0339,15457,2400,5.4404,0.3862877200928494,70652,70652,70652,70652,0
30,2023-05-15,38528,52653,0.2683,18566,17954,0.0341,15996,2483,5.4422,0.3865097824599808,73090,73090,73090,73090,0
31,2023-05-16,39796,54408,0.2686,19214,18552,0.0357,16514,2566,5.4357,0.3869131160130286,75526,75526,75526,75524,0
32,2023-05-17,41051,56163,0.2691,19825,19151,0.0352,17086,2649,5.45,0.38765824814335,77963,77963,77963,77962,0
33,2023-05-18,42339,57918,0.269,20456,19749,0.0358,17600,2731,5.4445,0.3875096395432722,80398,80398,80398,80395,0
34,2023-05-19,43615,59673,0.2691,21091,20348,0.0365,18129,2814,5.4424,0.3877105088428804,82835,82835,82835,82835,0
35,2023-05-20,44901,61428,0.269,21692,20946,0.0356,18675,2897,5.4463,0.387599535598269,85271,85271,85271,85268,0
36,2023-05-21,46164,63183,0.2694,22304,21545,0.0352,19238,2980,5.4557,0.3880603821772244,87708,87708,87708,87706,0
37,2023-05-22,47459,64938,0.2692,22946,22143,0.0363,19739,3063,5.4443,0.3878017394391196,90144,90144,90144,90144,0
38,2023-05-23,48749,66693,0.2691,23544,22742,0.0353,20280,3145,5.4483,0.3875675091812486,92580,92580,92580,92573,0
39,2023-05-24,50041,68448,0.2689,24160,23340,0.0351,20815,3228,5.4483,0.3874505346467963,95016,95016,95016,95016,0
40,2023-05-25,51304,70204,0.2692,24773,23939,0.0348,21377,3311,5.4564,0.387875305272231,97454,97454,97454,97454,0
41,2023-05-26,52604,71959,0.269,25418,24537,0.0359,21867,3394,5.4428,0.3875162678946841,99890,99890,99890,99889,0
42,2023-05-27,53895,73714,0.2689,26047,25136,0.0362,22383,3476,5.4393,0.3873600062545199,102326,102326,102326,102325,0
43,2023-05-28,55180,75469,0.2688,26680,25734,0.0368,22902,3559,5.435,0.3873351024226341,104762,104762,104762,104762,0
44,2023-05-29,56425,77224,0.2693,27332,26333,0.0379,23440,3642,5.436,0.3880260077052958,107199,107199,107199,107197,0
45,2023-05-30,57672,78979,0.2698,28010,26931,0.0401,23952,3725,5.4301,0.3886806220641218,109635,109635,109635,109634,0
46,2023-05-31,58986,80734,0.2694,28581,27530,0.0382,24504,3808,5.4349,0.3880987222499821,112072,112072,112072,112071,0
47,2023-06-01,60244,82489,0.2697,29235,28128,0.0394,25028,3890,5.4339,0.3885351987214755,114507,114507,114507,114507,0
48,2023-06-02,61522,84244,0.2697,29843,28727,0.0388,25578,3973,5.438,0.3885877000957723,116944,116944,116944,116943,0
49,2023-06-03,62811,85999,0.2696,30450,29325,0.0384,26119,4056,5.4396,0.3884737812028815,119380,119380,119380,119380,0
50,2023-06-04,64063,87755,0.27,31090,29924,0.039,26664,4139,5.4421,0.3889655059186656,121818,121818,121818,121817,0
51,2023-06-05,65368,89510,0.2697,31685,30522,0.0381,27199,4222,5.4422,0.3885750156936597,124254,124254,124254,124252,0
52,2023-06-06,66629,91265,0.2699,32360,31121,0.0398,27701,4304,5.4361,0.388917830925882,126690,126690,126690,126690,0
53,2023-06-07,67951,93020,0.2695,32956,31719,0.039,28218,4387,5.4322,0.3882796648235057,129126,129126,129126,129125,0
54,2023-06-08,69191,94775,0.2699,33640,32317,0.0409,28730,4470,5.4273,0.3889192928049133,131562,131562,131562,131561,0
55,2023-06-09,70451,96530,0.2702,34295,32916,0.0419,29251,4553,5.4246,0.389226785274517,133999,133999,133999,133997,0
56,2023-06-10,71749,98285,0.27,34902,33514,0.0414,29781,4635,5.4252,0.3889792866880689,136434,136434,136434,136432,0
57,2023-06-11,73021,100040,0.2701,35515,34113,0.0411,30335,4718,5.4296,0.3891237191350246,138871,138871,138871,138871,0
