Scenario,Date,Sensitivity_type,Target,Percentage_change,Province,UNHCR_observed,FLEE_mean,FLEE_SD,Bias,Absolute_error_percent
baseline_v3,2023-07-03,baseline,baseline,0.0,Ouaddai,138653.0,157045.6,163.0638593380588,18392.600000000006,13.265201618428742
baseline_v3,2023-07-03,baseline,baseline,0.0,Sila,47280.0,20805.9,180.73212221406575,-26474.1,55.994289340101524
baseline_v3,2023-07-03,baseline,baseline,0.0,Wadi_Fira,6540.0,14618.5,104.0963762844584,8078.5,123.52446483180428
baseline_v3,2023-09-06,baseline,baseline,0.0,Ouaddai,319545.0,336326.8,189.1259427530296,16781.79999999999,5.251779874509064
baseline_v3,2023-09-06,baseline,baseline,0.0,Sila,63808.0,44629.7,173.08832042245564,-19178.300000000003,30.056262537612845
baseline_v3,2023-09-06,baseline,baseline,0.0,Wadi_Fira,28983.0,31376.1,92.07659854707926,2393.0999999999985,8.256909222647755
el_geneina_minus20,2023-07-03,population,El_Geneina,-20.0,Ouaddai,138653.0,150124.3,153.6677874145681,11471.299999999988,8.27338752136628
el_geneina_minus20,2023-07-03,population,El_Geneina,-20.0,Sila,47280.0,24871.1,176.84044911853297,-22408.9,47.396150592216586
el_geneina_minus20,2023-07-03,population,El_Geneina,-20.0,Wadi_Fira,6540.0,17474.6,137.69467027529507,10934.599999999999,167.19571865443424
el_geneina_minus20,2023-09-06,population,El_Geneina,-20.0,Ouaddai,319545.0,321425.0,278.9655494461239,1880.0,0.5883365410192618
el_geneina_minus20,2023-09-06,population,El_Geneina,-20.0,Sila,63808.0,53464.7,284.5628421124429,-10343.300000000003,16.210036359077236
el_geneina_minus20,2023-09-06,population,El_Geneina,-20.0,Wadi_Fira,28983.0,37442.8,73.9861848966113,8459.800000000003,29.188834834213168
el_geneina_plus20,2023-07-03,population,El_Geneina,20.0,Ouaddai,138653.0,161955.7,129.61142782263542,23302.70000000001,16.80648813945606
