Scenario,Date,Runs,Sensitivity_type,Target,Percentage_change,MAE_mean,MAE_sd,RMSE_mean,RMSE_sd,MAPE_mean_percent,WAPE_mean_percent,WAPE_sd_percent,Ouaddai_mean,Ouaddai_sd,Sila_mean,Sila_sd,Wadi_Fira_mean,Wadi_Fira_sd,Baseline_WAPE_percent,WAPE_change_vs_baseline,Absolute_WAPE_change
el_geneina_minus20,2023-07-03,10,population,El_Geneina,-20.0,14938.266666666668,117.66648830119705,15846.548463876621,124.96954596195073,74.28841892267238,23.283681347513678,0.18340206933107064,150124.3,153.6677874145681,24871.1,176.84044911853297,17474.6,137.69467027529507,27.507858245052553,-4.224176897538875,4.224176897538875
foro_baranga_minus20,2023-07-03,10,population,Foro_Baranga,-20.0,20159.466666666667,107.17439347756512,22075.1461287044,116.91907464324562,69.3880814538846,31.421757856946165,0.16704845896967072,160489.8,142.03661499768293,17039.3,161.1321403900124,14940.9,109.15478306820397,27.507858245052553,3.913899611893612,3.913899611893612
foro_baranga_plus20,2023-07-03,10,population,Foro_Baranga,20.0,15213.0,133.37952903437642,16408.564892540548,145.22409484974935,59.27779941755783,23.711897253121215,0.20789336016123244,153707.5,165.22392213128353,24459.0,200.29422801912636,14303.5,112.20046543773535,27.507858245052553,-3.795960991931338,3.795960991931338
el_geneina_plus20,2023-07-03,10,population,El_Geneina,20.0,19553.0,91.85374848698942,21906.16568620827,102.00469338157629,56.99108652962438,30.476482415715452,0.14316877975662332,161955.7,129.61142782263542,17949.0,138.2075733573719,12565.3,96.83783695780626,27.507858245052553,2.968624170662899,2.968624170662899
kulbus_minus20,2023-07-03,10,population,Kulbus,-20.0,17407.6,116.9434600116921,19512.110939530594,132.52819455668566,50.56270037562975,27.13253287474087,0.1822751139303041,159434.8,162.1109359529935,21167.1,175.80383638842724,11868.1,94.08323737816188,27.507858245052553,-0.3753253703116819,0.3753253703116819
kulbus_plus20,2023-07-03,10,population,Kulbus,20.0,17867.06666666667,116.32890790691201,19074.605596672853,124.80324385968402,77.54051971785054,27.84868527014179,0.1813172360386834,154703.1,154.69715935049072,20477.9,174.78777607906872,17289.0,131.15554802515132,27.507858245052553,0.34082702508923646,0.34082702508923646
routes_minus20,2023-07-03,10,routes,all_routes,-20.0,17649.26666666667,120.3543943813998,19187.92358284528,133.40489283855794,64.26330766559153,27.509209083871504,0.18759160149433976,157048.1,163.68699805828604,20806.1,180.53159157210007,14618.8,104.05425935005684,27.507858245052553,0.001350838818950706,0.001350838818950706
routes_plus20,2023-07-03,10,routes,all_routes,20.0,17648.499999999996,120.56607736982093,19187.25243542846,133.58010141478192,64.261876362436,27.50801411107012,0.1879215433382677,157045.8,163.96463033227624,20805.9,180.6115844691155,14618.6,104.08778346504775,27.507858245052553,0.00015586601756822915,0.00015586601756822915
baseline_v3,2023-07-03,10,baseline,baseline,0.0,17648.4,120.24037653029905,19187.174285465495,133.3022429241747,64.26131859677817,27.507858245052553,0.18741388641050946,157045.6,163.0638593380588,20805.9,180.73212221406575,14618.5,104.0963762844584,27.507858245052553,0.0,0.0
el_geneina_minus20,2023-09-06,10,population,El_Geneina,-20.0,6894.366666666667,189.65299371402338,7792.542131850541,152.96679620666282,15.329069244769883,5.016079119941019,0.1379843091900949,321425.0,278.9655494461239,53464.7,284.5628421124429,37442.8,73.9861848966113,9.30144348298475,-4.285364363043731,4.285364363043731
el_geneina_plus20,2023-09-06,10,population,El_Geneina,20.0,18247.866666666665,112.57625125078165,21572.933742436315,129.79704008277292,18.420839476946355,13.276454153893912,0.08190620119328483,346915.0,168.7463579853898,38450.9,158.71459360191875,26966.5,81.0120018543206,9.30144348298475,3.975010670909162,3.975010670909162
foro_baranga_minus20,2023-09-06,10,population,Foro_Baranga,-20.0,18195.6,126.34391629669086,21143.761708964543,150.74676284692057,20.315839167361858,13.238426913973068,0.0919230309480787,343767.3,193.36496867610512,36512.9,189.7486348948114,32052.4,92.86334045251655,9.30144348298475,3.9369834309883185,3.9369834309883185
foro_baranga_plus20,2023-09-06,10,population,Foro_Baranga,20.0,7548.333333333333,154.51469225758694,8627.708632575677,187.01322406931766,8.90025720981932,5.49188040821078,0.11241901671761868,329141.2,241.03794076636336,52483.8,231.72819326865593,30707.6,88.66691729287886,9.30144348298475,-3.80956307477397,3.80956307477397
kulbus_minus20,2023-09-06,10,population,Kulbus,-20.0,14636.333333333334,128.0753057799094,16676.646546103308,151.54015361029116,15.967135388048481,10.648839781149354,0.09318272412297929,341497.6,192.22047526502246,45367.8,191.46847724306417,25466.8,82.26488382725105,9.30144348298475,1.347396298164604,1.347396298164604
kulbus_plus20,2023-09-06,10,population,Kulbus,20.0,13203.566666666666,160.21652401641106,14085.201523328438,178.80906605443715,20.848558848485943,9.606413216406038,0.1165674527689149,331282.4,247.98575227890277,44000.9,240.32360128238201,37049.2,84.01957443887044,9.30144348298475,0.30496973342128797,0.30496973342128797
routes_minus20,2023-09-06,10,routes,all_routes,-20.0,12785.166666666668,115.35990381153873,14778.880229343262,141.0915124366316,14.521974200634364,9.3020012805091,0.08393148098507443,336329.2,189.05484213141258,44630.0,173.0972751566779,31376.3,91.76304024799721,9.30144348298475,0.0005577975243493682,0.0005577975243493682
routes_plus20,2023-09-06,10,routes,all_routes,20.0,12784.6,115.6915652569577,14778.193130952004,141.51371200309853,14.522173256269113,9.301588995382408,0.08417278524573966,336326.9,189.77849661586473,44629.6,173.27127094049183,31376.5,91.74754008207039,9.30144348298475,0.000145512397658365,0.000145512397658365
baseline_v3,2023-09-06,10,baseline,baseline,0.0,12784.4,115.32913715338024,14778.092025997466,141.0327167850913,14.521650544923222,9.30144348298475,0.08390909633409188,336326.8,189.1259427530296,44629.7,173.08832042245564,31376.1,92.07659854707926,9.30144348298475,0.0,0.0
