Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-15,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-16,900,1755,0.4872,883,598,0.4766,652,82,6.9512,0.702258726899384,2435,2435,2435,2435,0
2,2023-04-17,1786,3510,0.4912,1765,1196,0.4758,1317,165,6.9818,0.7072469718743585,4871,4871,4871,4868,0
3,2023-04-18,2651,5265,0.4965,2646,1795,0.4741,2007,248,7.0927,0.7148330596606459,7308,7308,7308,7304,0
4,2023-04-19,3535,7020,0.4964,3528,2393,0.4743,2676,331,7.0846,0.7147988505747126,9744,9744,9744,9739,0
5,2023-04-20,4363,8775,0.5028,4433,2992,0.4816,3381,413,7.1864,0.7242200328407224,12180,12180,12180,12177,0
6,2023-04-21,5234,10530,0.5029,5305,3590,0.4777,4076,496,7.2177,0.7246168582375478,14616,14616,14616,14615,0
7,2023-04-22,6085,12285,0.5047,6228,4189,0.4868,4738,579,7.1831,0.7270275024922301,17053,17053,17053,17051,0
8,2023-04-23,6990,14040,0.5021,7118,4787,0.4869,5378,662,7.1239,0.7233311098568423,19489,19489,19489,19486,0
9,2023-04-24,7877,15795,0.5013,7996,5386,0.4846,6049,745,7.1195,0.7220651281583508,21926,21926,21926,21922,0
10,2023-04-25,8769,17551,0.5004,8850,5984,0.4789,6738,827,7.1475,0.7207536327066744,24362,24362,24362,24357,0
11,2023-04-26,9659,19306,0.4997,9794,6583,0.4878,7344,910,7.0703,0.7198776073734094,26799,26799,26799,26797,0
12,2023-04-27,10543,21061,0.4994,10706,7181,0.4909,7981,993,7.0373,0.7193774585257396,29235,29235,29235,29230,0
13,2023-04-28,11434,22816,0.4989,11564,7780,0.4864,8670,1076,7.0576,0.718615812073756,31672,31672,31672,31668,0
14,2023-04-29,12316,24571,0.4988,12437,8378,0.4845,9349,1158,7.0734,0.7184742135045592,34107,34107,34107,34102,0
15,2023-04-30,13199,26326,0.4986,13334,8977,0.4854,10006,1241,7.0629,0.7182848073555166,36544,36544,36544,36539,0
16,2023-05-01,14109,28081,0.4976,14205,9575,0.4836,10661,1324,7.0521,0.7167521806054387,38980,38980,38980,38975,0
