Seed,Date,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Ouaddai_percentage_error,Sila_observed,Sila_simulated,Sila_difference,Sila_percentage_error,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Wadi_Fira_percentage_error,MAE,RMSE,MAPE_percent,WAPE_percent
1001,2023-07-03,138653.0,157209.0,18556.0,13.383049771732312,47280.0,20563.0,-26717.0,56.508037225042294,6540.0,14698.0,8158.0,124.74006116207951,17810.333333333332,19362.129609110667,64.8770493862847,27.760257282839675
1002,2023-07-03,138653.0,156927.0,18274.0,13.179664341918315,47280.0,21029.0,-26251.0,55.52241962774958,6540.0,14515.0,7975.0,121.94189602446484,17500.0,19032.031788540076,63.54799333137757,27.27655307497675
1003,2023-07-03,138653.0,157023.0,18370.0,13.248901935046483,47280.0,20837.0,-26443.0,55.92851099830796,6540.0,14610.0,8070.0,123.39449541284404,17627.666666666668,19164.32492071314,64.19063611539949,27.475542024076105
1004,2023-07-03,138653.0,157174.0,18521.0,13.357806899237664,47280.0,20740.0,-26540.0,56.1336717428088,6540.0,14555.0,8015.0,122.55351681957187,17692.0,19249.582385080463,64.01499848720611,27.57581582871364
1005,2023-07-03,138653.0,156832.0,18179.0,13.111147973718564,47280.0,20986.0,-26294.0,55.61336717428088,6540.0,14650.0,8110.0,124.00611620795108,17527.666666666668,19040.50574433358,64.24354378531683,27.319676006504807
1006,2023-07-03,138653.0,156759.0,18106.0,13.058498553944018,47280.0,20920.0,-26360.0,55.752961082910325,6540.0,14794.0,8254.0,126.2079510703364,17573.333333333332,19068.345077641112,65.00647023573025,27.3908548211957
1007,2023-07-03,138653.0,157210.0,18557.0,13.38377099666073,47280.0,20645.0,-26635.0,56.33460236886633,6540.0,14616.0,8076.0,123.4862385321101,17756.0,19313.27048085504,64.40153729921238,27.675570079959265
1008,2023-07-03,138653.0,157147.0,18494.0,13.338333826170368,47280.0,20640.0,-26640.0,56.34517766497462,6540.0,14682.0,8142.0,124.4954128440367,17758.666666666668,19304.66092251644,64.72630811172722,27.679726507094504
1009,2023-07-03,138653.0,157168.0,18515.0,13.353479549667155,47280.0,20653.0,-26627.0,56.31768189509307,6540.0,14646.0,8106.0,123.94495412844037,17749.333333333332,19300.34187952811,64.53870519106687,27.665179012121182
1010,2023-07-03,138653.0,157007.0,18354.0,13.237362336191788,47280.0,21046.0,-26234.0,55.48646362098138,6540.0,14419.0,7879.0,120.47400611620796,17489.0,19036.550046336302,63.06594402446037,27.259407813043907
