Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-16,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-17,1948,1755,0.11,282,598,0.5284,204,82,1.4878,0.25913757700205337,2435,2435,2435,2434,0
2,2023-04-18,3941,3510,0.1228,531,1196,0.556,394,165,1.3879,0.2720180661055225,4871,4871,4871,4866,0
3,2023-04-19,5926,5265,0.1255,822,1795,0.5421,557,248,1.246,0.26587301587301587,7308,7308,7308,7305,0
4,2023-04-20,7919,7020,0.1281,1072,2393,0.552,753,331,1.2749,0.27114121510673234,9744,9744,9744,9744,0
5,2023-04-21,9883,8775,0.1263,1335,2992,0.5538,957,413,1.3172,0.27167487684729064,12180,12180,12180,12175,0
6,2023-04-22,11927,10530,0.1327,1561,3590,0.5652,1125,496,1.2681,0.27743568691844556,14616,14616,14616,14613,0
7,2023-04-23,13922,12285,0.1333,1814,4189,0.567,1315,579,1.2712,0.2784260833870873,17053,17053,17053,17051,0
8,2023-04-24,15907,14040,0.133,2073,4787,0.567,1504,662,1.2719,0.27825953101749706,19489,19489,19489,19484,0
9,2023-04-25,17892,15795,0.1328,2353,5386,0.5631,1679,745,1.2537,0.2765666332208337,21926,21926,21926,21924,0
10,2023-04-26,19899,17551,0.1338,2618,5984,0.5625,1845,827,1.231,0.2763319924472539,24362,24362,24362,24362,0
11,2023-04-27,21908,19306,0.1348,2872,6583,0.5637,2016,910,1.2154,0.2768386880107467,26799,26799,26799,26796,0
12,2023-04-28,23901,21061,0.1348,3129,7181,0.5643,2201,993,1.2165,0.27706516162134426,29235,29235,29235,29231,0
13,2023-04-29,25873,22816,0.134,3393,7780,0.5639,2402,1076,1.2323,0.2769007325082091,31672,31672,31672,31668,0
14,2023-04-30,27848,24571,0.1334,3637,8378,0.5659,2620,1158,1.2625,0.2779488081625473,34107,34107,34107,34105,0
15,2023-05-01,29848,26326,0.1338,3903,8977,0.5652,2789,1241,1.2474,0.2775831873905429,36544,36544,36544,36540,0
16,2023-05-02,31836,28081,0.1337,4167,9575,0.5648,2977,1324,1.2485,0.27747562852744995,38980,38980,38980,38980,0
