Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-16,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-17,1966,1755,0.1202,276,598,0.5385,190,82,1.3171,0.2632443531827515,2435,2435,2435,2432,0
2,2023-04-18,3904,3510,0.1123,587,1196,0.5092,380,165,1.303,0.25005132416341613,4871,4871,4871,4871,0
3,2023-04-19,5890,5265,0.1187,856,1795,0.5231,561,248,1.2621,0.2568418171866448,7308,7308,7308,7307,0
4,2023-04-20,7894,7020,0.1245,1105,2393,0.5382,743,331,1.2447,0.2641625615763547,9744,9744,9744,9742,0
5,2023-04-21,9851,8775,0.1226,1385,2992,0.5371,942,413,1.2809,0.26371100164203615,12180,12180,12180,12178,0
6,2023-04-22,11802,10530,0.1208,1670,3590,0.5348,1142,496,1.3024,0.2625889436234264,14616,14616,14616,14614,0
7,2023-04-23,13791,12285,0.1226,1953,4189,0.5338,1306,579,1.2556,0.26206532574913505,17053,17053,17053,17050,0
8,2023-04-24,15766,14040,0.1229,2227,4787,0.5348,1492,662,1.2538,0.2625070552619426,19489,19489,19489,19485,0
9,2023-04-25,17768,15795,0.1249,2483,5386,0.539,1672,745,1.2443,0.26466295721973915,21926,21926,21926,21923,0
10,2023-04-26,19736,17551,0.1245,2760,5984,0.5388,1864,827,1.2539,0.2645923979968804,24362,24362,24362,24360,0
11,2023-04-27,21722,19306,0.1251,3024,6583,0.5406,2050,910,1.2527,0.2654949811560133,26799,26799,26799,26796,0
12,2023-04-28,23688,21061,0.1247,3292,7181,0.5416,2254,993,1.2699,0.2660167607319993,29235,29235,29235,29234,0
13,2023-04-29,25677,22816,0.1254,3527,7780,0.5467,2464,1076,1.29,0.268438999747411,31672,31672,31672,31668,0
14,2023-04-30,27652,24571,0.1254,3796,8378,0.5469,2657,1158,1.2945,0.2686252089013985,34107,34107,34107,34105,0
15,2023-05-01,29624,26326,0.1253,4058,8977,0.548,2862,1241,1.3062,0.26920971978984237,36544,36544,36544,36544,0
16,2023-05-02,31606,28081,0.1255,4320,9575,0.5488,3052,1324,1.3051,0.26957414058491536,38980,38980,38980,38978,0
17,2023-05-03,33597,29836,0.1261,4575,10174,0.5503,3242,1407,1.3042,0.27029963541540913,41417,41417,41417,41414,0
18,2023-05-04,35569,31591,0.1259,4853,10772,0.5495,3428,1490,1.3007,0.26987891364330835,43853,43853,43853,43850,0
19,2023-05-05,37571,33346,0.1267,5098,11371,0.5517,3615,1572,1.2996,0.2709282982998121,46289,46289,46289,46284,0
20,2023-05-06,39598,35102,0.1281,5333,11969,0.5544,3793,1655,1.2918,0.2723392028896277,48726,48726,48726,48724,0
21,2023-05-07,41585,36857,0.1283,5589,12568,0.5553,3987,1738,1.294,0.2727752477376229,51163,51163,51163,51161,0
22,2023-05-08,43580,38612,0.1287,5847,13166,0.5559,4169,1821,1.2894,0.2730461389205022,53599,53599,53599,53596,0
23,2023-05-09,45578,40367,0.1291,6102,13765,0.5567,4355,1904,1.2873,0.2734849025626383,56036,56036,56036,56035,0
24,2023-05-10,47567,42122,0.1293,6367,14363,0.5567,4535,1986,1.2835,0.2734688991123805,58471,58471,58471,58469,0
25,2023-05-11,49543,43877,0.1291,6641,14962,0.5561,4722,2069,1.2823,0.27319892296578446,60908,60908,60908,60906,0
26,2023-05-12,51536,45632,0.1294,6885,15560,0.5575,4922,2152,1.2872,0.2738854508714322,63344,63344,63344,63343,0
27,2023-05-13,53521,47387,0.1294,7125,16158,0.559,5131,2235,1.2957,0.2745971419884463,65780,65780,65780,65777,0
28,2023-05-14,55547,49142,0.1303,7374,16757,0.5599,5293,2317,1.2844,0.27506743286032603,68216,68216,68216,68214,0
29,2023-05-15,57584,50897,0.1314,7597,17355,0.5623,5468,2400,1.2783,0.2761846798392119,70652,70652,70652,70649,0
30,2023-05-16,59581,52653,0.1316,7877,17954,0.5613,5630,2483,1.2674,0.2757148720755233,73090,73090,73090,73088,0
31,2023-05-17,61575,54408,0.1317,8142,18552,0.5611,5808,2566,1.2634,0.275653417366205,75526,75526,75526,75525,0
32,2023-05-18,63585,56163,0.1322,8385,19151,0.5622,5988,2649,1.2605,0.27611815861370137,77963,77963,77963,77958,0
33,2023-05-19,65616,57918,0.1329,8611,19749,0.564,6168,2731,1.2585,0.2770342545834473,80398,80398,80398,80395,0
34,2023-05-20,67560,59673,0.1322,8911,20348,0.5621,6361,2814,1.2605,0.2761030965171727,82835,82835,82835,82832,0
35,2023-05-21,69578,61428,0.1327,9153,20946,0.563,6537,2897,1.2565,0.276565303561586,85271,85271,85271,85268,0
36,2023-05-22,71528,63183,0.1321,9442,21545,0.5618,6736,2980,1.2604,0.27596114379532083,87708,87708,87708,87706,0
37,2023-05-23,73515,64938,0.1321,9688,22143,0.5625,6939,3063,1.2654,0.276313454029109,90144,90144,90144,90142,0
38,2023-05-24,75491,66693,0.1319,9956,22742,0.5622,7128,3145,1.2665,0.27616115791747675,92580,92580,92580,92575,0
39,2023-05-25,77492,68448,0.1321,10228,23340,0.5618,7296,3228,1.2602,0.2759956217900143,95016,95016,95016,95016,0
40,2023-05-26,79477,70204,0.1321,10494,23939,0.5616,7479,3311,1.2588,0.27588400681347097,97454,97454,97454,97450,0
41,2023-05-27,81462,71959,0.1321,10771,24537,0.561,7653,3394,1.2549,0.27558314145560114,99890,99890,99890,99886,0
42,2023-05-28,83428,73714,0.1318,11044,25136,0.5606,7853,3476,1.2592,0.27542364599417546,102326,102326,102326,102325,0
